loss,mean_absolute_error,val_loss,val_mean_absolute_error,method,history,ahead
4.1399149894714355,0.8071931600570679,0.49344611167907715,0.50873863697052,CNN,27,15
1.0684401988983154,0.5419498682022095,0.48105278611183167,0.4983726441860199,CNN,27,15
1.0431398153305054,0.5308466553688049,0.4790927767753601,0.4964081645011902,CNN,27,15
1.08415949344635,0.5406027436256409,0.4777047336101532,0.49471166729927063,CNN,27,15
1.5316249132156372,0.6186081767082214,0.48661288619041443,0.5030829906463623,CNN,27,15
1.043945550918579,0.5291453003883362,0.48049211502075195,0.49754294753074646,CNN,27,15
1.1453261375427246,0.568527102470398,0.49656397104263306,0.509606122970581,CNN,27,15
1.1040384769439697,0.5478706359863281,0.4972570538520813,0.5094020962715149,CNN,27,15
2.162388801574707,0.72420734167099,0.6791886687278748,0.6110373735427856,CNN,27,15
1.1111841201782227,0.5599367618560791,0.4824250340461731,0.4987768232822418,CNN,27,15
1.0078868865966797,0.5138996243476868,0.4828568398952484,0.49909070134162903,CNN,27,15
1.1253159046173096,0.5541176795959473,0.4845600426197052,0.5005283951759338,CNN,27,15
1.0091214179992676,0.5228821635246277,0.4816592335700989,0.49805229902267456,CNN,27,15
