method,history,epoch,Metric,Estimate
CNN,24,10,loss,1.63321709632874
CNN,24,11,loss,1.02037489414215
CNN,25,1,loss,3.19355368614197
CNN,25,2,loss,1.06101930141449
CNN,25,3,loss,1.13516366481781
CNN,25,4,loss,1.12668919563293
CNN,25,5,loss,1.02114200592041
CNN,25,6,loss,1.27701890468597
CNN,25,7,loss,1.01657950878143
CNN,25,8,loss,4.56776571273804
CNN,25,9,loss,1.05448460578918
CNN,25,10,loss,1.02845919132233
CNN,25,11,loss,1.10910189151764
CNN,25,12,loss,1.01912844181061
CNN,25,13,loss,2.01944255828857
CNN,25,14,loss,1.0385879278183
CNN,26,1,loss,3.5899441242218
CNN,26,2,loss,1.0249115228653
CNN,26,3,loss,1.04282963275909
CNN,26,4,loss,4.94818449020386
CNN,26,5,loss,1.29764938354492
CNN,26,6,loss,1.03880679607391
CNN,26,7,loss,1.55042040348053
CNN,26,8,loss,1.0227986574173
CNN,26,9,loss,1.30962896347046
CNN,26,10,loss,1.01055991649628
CNN,26,11,loss,3.20644426345825
CNN,27,1,loss,16.0294589996338
CNN,27,2,loss,1.11772692203522
CNN,27,3,loss,1.1735748052597
CNN,27,4,loss,2.14507484436035
CNN,27,5,loss,1.11543238162994
CNN,27,6,loss,1.06385898590088
CNN,27,7,loss,1.32927978038788
CNN,27,8,loss,1.09051656723022
CNN,27,9,loss,1.11309206485748
CNN,27,10,loss,2.88526821136475
CNN,27,11,loss,1.03574681282043
CNN,27,12,loss,1.01283836364746
CNN,27,13,loss,1.44144308567047
CNN,27,14,loss,1.01564800739288
CNN,27,15,loss,1.71181988716126
CNN,28,1,loss,3.14557886123657
CNN,28,2,loss,1.06262516975403
CNN,28,3,loss,1.02002251148224
CNN,28,4,loss,3.19157886505127
CNN,28,5,loss,1.13674676418304
CNN,28,6,loss,1.01821982860565
CNN,28,7,loss,4.69585514068604
CNN,28,8,loss,1.04711854457855
CNN,28,9,loss,1.02441322803497
CNN,28,10,loss,1.07788419723511
CNN,28,11,loss,1.22161221504211
CNN,28,12,loss,1.09788465499878
CNN,29,1,loss,39.3445701599121
CNN,29,2,loss,1.93911778926849
CNN,29,3,loss,2.09994244575501
CNN,29,4,loss,1.20595598220825
CNN,29,5,loss,1.05484819412231
CNN,29,6,loss,1.30018472671509
CNN,29,7,loss,1.05956447124481
CNN,29,8,loss,1.15567290782928
CNN,29,9,loss,1.18482041358948
CNN,29,10,loss,1.03216111660004
CNN,29,11,loss,4.66611862182617
CNN,29,12,loss,1.07216322422028
CNN,29,13,loss,1.02213823795319
CNN,29,14,loss,1.06544804573059
CNN,29,15,loss,1.19782721996307
CNN,29,16,loss,1.08761239051819
CNN,30,1,loss,8.96257305145264
CNN,30,2,loss,1.12449705600739
CNN,30,3,loss,1.1587370634079
CNN,30,4,loss,1.30362403392792
CNN,30,5,loss,1.09225463867188
CNN,30,6,loss,1.2225376367569
CNN,30,7,loss,1.11538600921631
CNN,30,8,loss,1.23110997676849
CNN,30,9,loss,5.68371200561523
CNN,30,10,loss,1.11000633239746
CNN,30,11,loss,1.05846560001373
CNN,30,12,loss,1.08064436912537
CNN,30,13,loss,1.36767077445984
CNN,30,14,loss,1.00948572158813
CNN,31,1,loss,13.590217590332
CNN,31,2,loss,1.1409615278244
CNN,31,3,loss,1.12773871421814
CNN,31,4,loss,1.31282150745392
CNN,31,5,loss,1.06012141704559
CNN,31,6,loss,1.41187787055969
CNN,31,7,loss,1.05956482887268
CNN,31,8,loss,1.38835251331329
CNN,31,9,loss,1.03215944766998
CNN,31,10,loss,8.83873081207275
CNN,31,11,loss,1.15246403217316
CNN,31,12,loss,1.03515100479126
CNN,31,13,loss,1.09308218955994
CNN,31,14,loss,1.91375076770782
CNN,32,1,loss,7.74454355239868
CNN,32,2,loss,1.14469814300537
CNN,32,3,loss,1.05183947086334
CNN,32,4,loss,1.37828290462494
CNN,32,5,loss,1.08286249637604
CNN,32,6,loss,2.11598014831543
CNN,32,7,loss,1.14257717132568
CNN,32,8,loss,1.07520425319672
CNN,32,9,loss,5.59808731079102
CNN,32,10,loss,1.18378567695618
CNN,32,11,loss,1.02581310272217
CNN,32,12,loss,1.04796516895294
CNN,32,13,loss,1.25337958335876
CNN,32,14,loss,1.04801964759827
CNN,33,1,loss,12.8530349731445
CNN,33,2,loss,1.14184904098511
CNN,33,3,loss,1.31449341773987
CNN,33,4,loss,1.03636956214905
CNN,33,5,loss,1.5992978811264
CNN,33,6,loss,1.01814591884613
CNN,33,7,loss,1.15375924110413
CNN,33,8,loss,1.11380219459534
CNN,33,9,loss,1.09714293479919
CNN,33,10,loss,4.46515703201294
CNN,33,11,loss,1.10872769355774
CNN,33,12,loss,1.02973079681396
CNN,33,13,loss,1.28205919265747
CNN,33,14,loss,1.05473482608795
CNN,33,15,loss,5.27434206008911
CNN,34,1,loss,22.4020862579346
CNN,34,2,loss,1.60472929477692
CNN,34,3,loss,1.163578748703
CNN,34,4,loss,1.09542608261108
CNN,34,5,loss,1.66531205177307
CNN,34,6,loss,1.06273686885834
CNN,34,7,loss,1.13881886005402
CNN,34,8,loss,1.29946386814117
CNN,34,9,loss,1.02301275730133
CNN,34,10,loss,9.4294319152832
CNN,34,11,loss,1.1645964384079
CNN,34,12,loss,1.04514396190643
CNN,34,13,loss,1.09692072868347
CNN,34,14,loss,1.47941827774048
CNN,34,15,loss,1.00997018814087
CNN,35,1,loss,16.8054618835449
CNN,35,2,loss,1.68379902839661
CNN,35,3,loss,1.19282019138336
CNN,35,4,loss,1.0823085308075
CNN,35,5,loss,2.43320178985596
CNN,35,6,loss,1.12353563308716
CNN,35,7,loss,1.06689822673798
