loss,mean_absolute_error,val_loss,val_mean_absolute_error,method,history,ahead
0.999136209487915,0.4982197880744934,0.4720519185066223,0.48869502544403076,LSTM,36,15
0.9978783130645752,0.4991520941257477,0.47248002886772156,0.48940086364746094,LSTM,36,15
0.9970818161964417,0.4997465908527374,0.4729107916355133,0.49033161997795105,LSTM,36,15
0.995855450630188,0.5005349516868591,0.47375723719596863,0.49146178364753723,LSTM,36,15
0.9940667748451233,0.5015543103218079,0.474967896938324,0.4933178424835205,LSTM,36,15
0.9920884370803833,0.502656877040863,0.4764355421066284,0.49500688910484314,LSTM,36,15
0.9889709949493408,0.503348171710968,0.4788059592247009,0.49756431579589844,LSTM,36,15
0.9845433831214905,0.5041544437408447,0.4805169999599457,0.49916136264801025,LSTM,36,15
0.9793011546134949,0.5046369433403015,0.48372071981430054,0.5022494196891785,LSTM,36,15
0.9740182757377625,0.5053294897079468,0.4888554811477661,0.5061475038528442,LSTM,36,15
