loss,mean_absolute_error,val_loss,val_mean_absolute_error,method,history,ahead
0.9987859725952148,0.4980519711971283,0.4722166061401367,0.48937010765075684,LSTM,21,15
0.9975041747093201,0.49918612837791443,0.4721982777118683,0.48980066180229187,LSTM,21,15
0.9961995482444763,0.5000509023666382,0.4725368320941925,0.4912315607070923,LSTM,21,15
0.994572639465332,0.5011302828788757,0.47325220704078674,0.49249380826950073,LSTM,21,15
0.9927683472633362,0.5020333528518677,0.47405150532722473,0.4939107298851013,LSTM,21,15
0.9903600215911865,0.5026052594184875,0.47584131360054016,0.49577322602272034,LSTM,21,15
0.9869076609611511,0.5034348368644714,0.4780689477920532,0.49807071685791016,LSTM,21,15
0.9827945828437805,0.5042723417282104,0.4805494248867035,0.5004816651344299,LSTM,21,15
0.9785013198852539,0.504867672920227,0.48387157917022705,0.5032312870025635,LSTM,21,15
0.9732406139373779,0.5053611397743225,0.48751264810562134,0.5058559775352478,LSTM,21,15
0.969067394733429,0.5057011246681213,0.489855021238327,0.5074887275695801,LSTM,21,15
