method,history,ahead,loss,mae
CNN,18,15,0.47872334718704224,0.49482664465904236
LSTM,18,15,0.48279720544815063,0.5018562078475952
CNN,19,15,0.4887789785861969,0.5030936598777771
LSTM,19,15,0.48564237356185913,0.503826916217804
CNN,20,15,0.4800429940223694,0.49616527557373047
LSTM,20,15,0.48406004905700684,0.5021723508834839
CNN,21,15,0.5359495282173157,0.5333524346351624
LSTM,21,15,0.489855021238327,0.5074887275695801
CNN,22,15,0.48397260904312134,0.49972081184387207
LSTM,22,15,0.4914466142654419,0.5087130665779114
CNN,23,15,0.5016327500343323,0.512977659702301
LSTM,23,15,0.4861835837364197,0.503859281539917
CNN,24,15,0.4801847040653229,0.4967972934246063
LSTM,24,15,0.4840618669986725,0.502570390701294
CNN,25,15,0.48641538619995117,0.5019770264625549
LSTM,25,15,0.4875009059906006,0.5055791735649109
CNN,26,15,0.48965513706207275,0.5041658878326416
LSTM,26,15,0.4918600022792816,0.5099974870681763
CNN,27,15,0.4816592335700989,0.49805229902267456
LSTM,27,15,0.49283671379089355,0.5094554424285889
CNN,28,15,0.48524728417396545,0.5014597773551941
LSTM,28,15,0.4851098954677582,0.5045776963233948
CNN,29,15,1.3771435022354126,0.7556909322738647
LSTM,29,15,0.48497554659843445,0.5035008788108826
CNN,30,15,0.4841136634349823,0.49997320771217346
LSTM,30,15,0.4841827154159546,0.5041481256484985
CNN,31,15,0.5214365124702454,0.5265068411827087
LSTM,31,15,0.4891532361507416,0.5070803165435791
CNN,32,15,0.48584258556365967,0.501697301864624
LSTM,32,15,0.4884267747402191,0.506838321685791
CNN,33,15,0.4836655259132385,0.4997275769710541
LSTM,33,15,0.4904702305793762,0.508506715297699
CNN,34,15,0.48642006516456604,0.5028365254402161
LSTM,34,15,0.4850735366344452,0.5036336779594421
CNN,35,15,0.48702532052993774,0.5025137066841125
LSTM,35,15,0.4844852089881897,0.5035427212715149
CNN,36,15,0.4828481078147888,0.49941813945770264
LSTM,36,15,0.48946359753608704,0.5062990188598633
CNN,37,15,0.6995702385902405,0.605951726436615
LSTM,37,15,0.4886415898799896,0.5069841742515564
CNN,38,15,0.4907023310661316,0.5042538642883301
LSTM,38,15,0.4853273928165436,0.503399670124054
CNN,39,15,0.5054907202720642,0.5170447826385498
LSTM,39,15,0.48029574751853943,0.4991537630558014
